"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"1257",69,18,0,37,46,5.8,0.79,-0.24,1.88,0.63,0,5,0,-1,-1,1,10,0,0,0,0,0,0,10,1,3,1,0,1,32,1,0,0,1,0,0,1,0,0,0,9,2,1,0,1,4,1,2,0,37,0,26,8,9,229.27,0,67,0,12.7,2.54,894.8,0,0,2.37,0,6.51,0,0,0,1,27.75,3.32,1815,7.5,0,0,2.84,0,6.98,1,0,0,0,1,0,0,0,1,24,1,1,1,0,1,0,0,0,1,0,0,0,"4","0","September","5","1","1","5","0","26.6","0","2","3","2","2","2","medium_spend_cust"
"1260",69,18,1,33,73,11.5,3.14,1.14,5.26,1.66,0,5,1,8,1,2,2,0,2,0,0,0,0,0,0,5,1,1,1,27,1,0,0,1,1,0,0,0,0,0,9,4,0,0,1,1,1,4,0,40,0,30,6,2,107.15,0,72,0,140.2,4.94,10252.35,0,0,2.48,0,6.64,0,0,0,1,86.5,4.46,6010,8.7,0,0,3.11,0,7.31,1,0,0,1,0,1,1,0,1,17,1,1,1,0,0,0,1,0,1,0,0,0,"3","1","January","5","1","1","3","0","42.9","1","4","4","4","2","0","medium_spend_cust"
"1262",55,18,0,15,55,4.7,1.35,0.3,1.23,0.21,0,3,1,14,2,2,1,1,0,0,0,0,0,0,0,0,-1,1,5,23,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,4,3,1,0,31,0,24,2,6,90.02,0,63,0,25.3,3.23,1550.9,0,0,2.79,0,6.98,1,30.95,1850.35,1,89.25,4.49,5650,8.64,0,0,3.07,0,7.26,1,0,0,0,0,0,0,1,1,26,1,1,1,0,0,1,1,0,1,0,0,0,"2","0","October","6","0","2","5","-1","-1","-1","3","2","3","3","0","low_spend_cust"
"1273",54,10,0,8,24,20.2,2.36,0.86,2.49,0.91,0,3,0,-1,-1,1,2,2,0,0,0,0,0,0,1,1,1,1,8,21,1,0,1,0,0,0,0,1,0,0,9,6,0,0,1,2,3,3,0,16,0,19,14,3,128.35,0,52,0,13.6,2.61,683.45,1,13.25,2.58,704.65,6.56,0,0,0,1,27.75,3.32,1505,7.32,0,0,2.7,0,6.82,0,0,0,1,0,1,1,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"2","1","April","2","0","1","4","0","15.4","0","3","2","1","3","0","medium_spend_cust"
"1276",33,18,0,3,33,16.4,1.77,0.57,3.64,1.29,0,1,0,-1,-1,1,2,0,0,0,2,0,0,0,1,3,1,1,1,16,1,0,0,0,1,0,0,0,0,0,1,6,1,0,1,2,1,4,0,2,0,2,10,10,191.85,0,6,1,2.1,0.74,18.45,1,9.5,2.25,55.5,4.02,1,21.15,89.35,1,6.5,1.87,30,3.4,0,0,2.68,0,4.6,0,0,0,0,1,0,0,1,1,14,1,1,1,1,1,0,1,0,0,1,0,0,"1","1","March","1","0","1","2","0","15.4","1","4","3","1","3","1","medium_spend_cust"
"1277",27,14,1,5,78,16,1.37,0.32,11.11,2.41,1,2,0,-1,-1,4,13,2,0,0,1,0,0,10,1,1,1,1,8,26,1,0,0,0,1,0,0,1,0,0,9,4,0,0,0,4,3,3,1,10,0,10,8,4,100.09,1,26,0,6.9,1.93,176.35,1,30.5,3.42,871.15,6.77,0,0,0,1,8.5,2.14,220,5.39,1,27.15,3.3,718.55,6.58,0,1,0,1,1,1,1,1,1,24,1,1,1,0,1,1,1,1,1,0,0,0,"4","1","October","6","0","4","2","1","37.7","0","1","1","1","3","4","low_spend_cust"
"1283",18,13,0,0,14,5.8,0.12,-2.16,0.7,-0.36,0,1,0,-1,-1,3,3,2,1,0,0,0,0,0,0,2,1,1,8,32,0,1,0,0,1,0,0,1,0,0,1,4,0,0,0,1,1,1,0,0,0,0,10,4,167.57,1,6,1,9.2,2.22,50.25,1,30.25,3.41,176.6,5.17,1,37.95,182.8,1,16.25,2.79,90,4.5,1,26.6,3.28,137.25,4.92,1,1,1,1,1,1,1,1,1,19,0,1,0,1,1,0,0,0,1,0,0,0,"4","1","December","1","0","1","1","0","5.1","0","2","1","2","3","3","medium_spend_cust"
"1286",39,17,1,9,54,15.5,5.83,1.76,2.54,0.93,1,4,1,14,2,4,6,0,0,0,0,0,0,6,1,2,1,0,4,27,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,4,4,2,0,10,0,13,5,2,37.48,1,32,0,8.2,2.1,273.55,1,13.5,2.6,392,5.97,0,0,0,1,10.5,2.35,325,5.78,0,0,2.93,0,6.36,1,0,1,1,1,1,1,0,1,19,1,1,1,1,1,0,0,0,1,1,0,0,"3","1","January","6","0","1","4","0","27","1","3","2","4","1","1","low_spend_cust"
"1291",42,18,0,3,40,4.5,0.27,-1.32,1.53,0.43,0,2,1,14,2,2,3,1,2,0,0,0,0,0,1,3,1,1,1,39,1,0,0,1,1,0,0,1,0,1,9,5,0,0,1,3,3,1,0,17,0,12,16,2,54.83,0,14,0,9.9,2.29,162.2,0,0,2.56,0,5.2,0,0,0,0,0,2.08,0,4.55,0,0,2.93,0,5.42,1,1,0,1,0,0,0,1,1,21,1,1,1,0,1,1,1,0,0,0,1,0,"5","0","September","1","0","1","4","1","22","0","1","2","2","3","1","medium_spend_cust"
"1297",31,14,0,4,28,12.2,0.94,-0.06,2.48,0.91,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,0,1,1,1,4,25,0,0,1,1,0,0,0,0,0,0,9,4,1,0,0,3,4,4,0,6,0,4,18,4,149.23,1,14,1,9.3,2.23,138.4,0,0,2.44,0,5.43,0,0,0,0,0,1.95,0,4.83,0,0,2.82,0,5.65,0,0,0,0,0,0,0,1,1,19,1,1,1,0,0,0,1,0,0,0,0,0,"2","0","March","3","0","2","2","1","14.9","0","4","2","2","1","0","medium_spend_cust"
"1299",61,12,0,35,129,13,7.26,1.98,9.51,2.25,0,5,0,-1,-1,1,1,0,0,1,0,0,0,0,1,2,1,1,8,23,0,0,0,0,0,0,0,1,0,0,9,1,0,0,1,4,2,4,0,36,0,28,19,2,159.24,0,67,0,11.05,2.4,802.45,1,71,4.26,4762.7,8.47,0,0,0,1,8.75,2.17,590,6.38,0,0,3.05,0,7.22,1,0,0,1,1,1,1,0,1,20,1,1,1,0,0,0,0,0,0,0,1,0,"2","1","June","6","0","1","4","1","72.5","0","1","1","4","2","0","high_spend_cust"
"1300",46,16,0,5,29,13.7,0.63,-0.47,3.35,1.21,0,1,1,13,2,2,0,0,0,0,0,0,0,0,0,2,1,0,8,32,0,0,0,0,0,1,0,1,0,0,9,6,0,0,0,3,3,3,0,8,0,8,10,6,129.22,1,27,0,8.1,2.09,184.95,0,0,2.44,0,6.06,0,0,0,0,0,2.17,0,5.86,0,0,2.82,0,6.57,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0,"3","0","February","2","0","2","3","1","20.3","0","5","2","2","1","0","medium_spend_cust"
"1305",50,12,1,1,31,1.5,0.24,-1.42,0.22,-1.5,0,1,1,11,1,3,6,0,1,0,0,0,0,5,1,2,0,0,1,20,1,0,1,0,0,0,0,0,0,0,9,4,0,1,0,2,1,4,0,1,0,1,12,5,76.42,0,5,1,1.8,0.59,26.85,0,0,2.17,0,3.13,1,17.5,72.35,0,0,1.39,0,1.56,0,0,2.82,0,3.4,0,0,0,0,0,0,0,0,1,24,0,0,1,0,1,0,1,0,0,0,0,0,"1","1","November","2","0","3","3","1","13.7","0","5","2","1","1","0","medium_spend_cust"
"1322",78,8,0,43,19,9.4,0.44,-0.83,1.35,0.3,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,0,1,4,21,0,0,0,1,0,0,0,0,1,0,9,6,1,0,0,2,2,2,0,35,0,25,10,5,113.69,0,62,0,16.55,2.81,1021.85,0,0,2.44,0,6.68,0,0,0,1,27.75,3.32,1750,7.47,0,0,2.69,0,6.91,0,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,1,0,0,1,0,0,"2","1","February","4","1","1","5","0","10.4","1","5","2","4","2","0","medium_spend_cust"
"1323",34,10,0,7,29,3.7,0.26,-1.35,0.81,-0.21,0,2,1,12,2,3,3,3,0,0,0,0,0,0,1,0,-1,1,3,32,0,0,1,0,0,0,0,0,0,0,9,4,1,1,0,3,2,4,0,3,1,3,11,8,211.42,1,4,0,2.75,1.01,13.95,0,0,2.55,0,4.4,0,0,0,0,0,2.53,0,3.69,0,0,2.54,0,4.25,0,0,0,0,0,1,0,0,1,22,1,1,0,0,0,0,1,0,0,0,0,0,"1","1","March","3","0","4","3","-1","-1","-1","5","3","1","1","0","medium_spend_cust"
"1325",21,16,1,0,21,24.3,1.16,0.15,3.94,1.37,0,1,0,-1,-1,3,1,0,0,0,0,1,0,0,1,0,-1,1,4,35,0,0,0,1,1,0,0,1,1,0,9,3,0,0,0,1,3,1,0,3,1,3,6,7,218.59,0,27,0,7.55,2.02,184.3,0,0,2.37,0,5.9,0,0,0,0,0,2.05,0,5.3,0,0,2.93,0,6.2,0,0,0,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,1,"5","0","September","5","0","1","1","-1","-1","-1","2","1","3","3","2","medium_spend_cust"
"1328",42,17,0,4,79,6.5,2.3,0.83,2.83,1.04,0,1,0,-1,-1,1,2,0,2,0,0,0,0,0,0,4,1,0,1,23,1,1,0,1,0,0,0,0,0,0,9,6,1,0,1,4,3,1,0,14,0,15,14,6,324.58,1,30,0,7.15,1.97,216.05,0,0,2.44,0,5.7,1,26.95,765.25,1,9,2.2,245,5.5,0,0,2.82,0,6.16,0,0,0,0,0,0,0,1,1,19,1,1,1,0,1,0,0,0,0,0,0,1,"1","0","February","1","0","2","2","1","38.7","1","1","3","4","3","0","medium_spend_cust"
"1335",57,15,1,21,111,15.3,1.07,0.07,15.91,2.77,0,1,0,-1,-1,3,0,0,0,0,0,0,0,0,1,2,1,0,8,23,1,0,1,0,0,0,0,1,0,0,9,7,1,1,1,4,2,1,0,16,1,16,8,4,109.09,0,38,0,7.85,2.06,268.95,0,0,2.48,0,6.03,1,32.4,1243,0,0,1.83,0,5.42,1,17.5,2.86,662.6,6.5,1,0,0,1,0,1,1,0,1,16,1,1,1,0,1,1,1,0,1,0,0,0,"5","0","January","5","0","1","5","0","71","0","2","2","3","2","1","low_spend_cust"
"1338",46,14,0,2,33,8.3,0.6,-0.52,2.14,0.76,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,28,1,1,0,0,0,0,0,0,0,1,9,3,0,0,0,1,3,2,1,16,1,9,13,1,39.44,1,22,1,7,1.95,139.95,1,21,3.04,443.15,6.09,1,33.5,743,1,13.75,2.62,295,5.69,1,40.7,3.71,832.25,6.72,1,1,1,1,1,1,1,0,1,30,0,1,1,1,1,1,1,1,1,0,0,0,"3","1","June","2","0","1","3","1","17.1","0","3","1","2","3","3","medium_spend_cust"
"1343",28,11,0,7,27,7.3,0.04,-3.18,1.93,0.66,0,3,1,12,2,2,0,0,0,0,0,0,0,0,1,2,1,1,10,28,1,0,0,0,0,0,0,0,0,1,1,5,0,0,1,3,1,2,0,10,0,10,14,7,240.3,1,39,1,6.15,1.82,243.2,1,37,3.61,1429.95,7.27,0,0,0,1,13,2.56,500,6.21,1,35.2,3.56,1362.4,7.22,1,1,0,1,1,1,1,0,1,23,1,1,1,0,1,0,1,0,1,0,0,0,"2","1","October","3","0","1","2","1","10.6","1","2","1","1","1","2","medium_spend_cust"
"1346",56,10,0,5,32,15.8,1.07,0.06,3.99,1.38,0,3,1,8,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,21,1,0,0,1,0,0,0,0,0,0,9,4,0,1,0,2,1,3,0,3,0,4,9,4,274.5,0,5,0,2.3,0.83,4.4,1,23.5,3.16,122.25,4.81,0,0,0,1,4.25,1.45,15,2.71,0,0,2.82,0,4.02,0,0,0,1,1,1,1,0,1,22,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","September","2","0","3","4","0","15.8","0","3","4","2","3","0","medium_spend_cust"
"1350",75,11,1,8,15,9.8,0.37,-1.01,1.1,0.1,0,4,0,-1,-1,1,5,1,0,0,0,0,4,0,0,4,1,0,1,18,1,0,0,0,0,0,0,0,0,0,9,2,1,1,1,2,2,2,0,8,1,9,8,6,199.36,0,22,0,7.5,2.01,172.5,0,0,2.25,0,5.01,0,0,0,0,0,1.56,0,4.01,0,0,2.82,0,5.52,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,"2","1","April","1","1","1","5","1","8.7","1","4","2","4","2","0","low_spend_cust"
"1354",66,10,0,14,88,15.4,2.76,1.02,10.79,2.38,0,2,1,11,1,2,5,0,1,0,0,0,0,4,1,2,1,0,1,15,1,0,0,0,1,0,0,0,0,1,9,6,0,1,0,1,1,2,0,22,0,17,16,1,53.89,0,46,0,14.6,2.68,649.65,1,38,3.64,1715.5,7.45,0,0,0,1,19.25,2.96,800,6.68,0,0,2.82,0,6.69,0,0,0,1,1,1,1,0,1,18,1,1,1,0,0,0,0,0,0,0,0,1,"1","0","May","1","0","1","5","0","47.6","0","2","1","2","2","0","medium_spend_cust"
"1361",19,14,0,0,21,5.1,0.33,-1.11,0.74,-0.3,0,1,1,16,3,5,1,0,0,0,1,0,0,0,1,0,-1,1,8,34,0,0,0,0,1,0,0,1,0,0,2,6,1,0,1,1,4,1,0,1,0,1,10,6,662.07,1,20,1,4.6,1.53,97.55,0,0,2.42,0,5.56,1,36.15,681.2,1,8.5,2.14,185,5.22,1,18.1,2.9,344.55,5.84,1,1,0,0,0,0,0,1,1,18,1,1,1,0,1,1,1,0,0,0,0,0,"4","1","October","1","0","3","1","-1","-1","-1","3","2","3","1","3","medium_spend_cust"
"1366",39,18,0,6,38,15.6,3.54,1.26,2.39,0.87,1,5,1,15,3,5,1,1,0,0,0,0,0,0,1,0,-1,0,8,25,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,4,4,4,0,4,0,3,5,9,191.08,0,7,1,1.85,0.62,11.1,1,22.75,3.12,187.35,5.23,1,36.65,205.65,1,34.25,3.53,220,5.39,1,29.8,3.39,167.45,5.12,0,1,1,1,1,1,1,0,1,23,0,1,1,1,1,1,1,1,0,0,0,1,"4","1","January","6","0","1","4","-1","-1","-1","2","1","4","2","1","low_spend_cust"
"1367",41,14,0,8,37,18.3,0.69,-0.37,6.08,1.81,0,3,1,11,1,2,0,0,0,0,0,0,0,0,1,5,1,0,1,28,1,0,0,1,0,0,0,0,0,0,9,1,1,0,1,4,4,4,1,3,1,3,9,6,250.28,0,8,1,3.3,1.19,33.1,1,20.5,3.02,180.55,5.2,1,25,151.65,0,0,1.75,0,3.91,0,0,2.82,0,4.81,0,1,0,0,0,1,0,0,1,24,1,1,1,1,1,1,1,0,0,0,1,0,"4","1","May","1","0","2","3","0","26.3","1","2","3","1","1","0","medium_spend_cust"
"1369",53,20,0,8,88,12.9,2.51,0.92,8.84,2.18,0,2,1,15,3,2,8,1,1,0,0,0,0,6,0,0,-1,0,8,21,1,0,0,0,0,0,0,1,0,0,9,5,1,0,0,4,4,4,0,35,0,25,9,0,0,0,71,0,22.05,3.09,1553.45,1,45.25,3.81,3242.35,8.08,1,60.55,4268.95,1,16.25,2.79,1155,7.05,1,79.3,4.37,5477.95,8.61,1,1,1,1,1,1,1,0,1,23,1,1,1,1,1,1,1,1,1,0,0,0,"4","1","October","1","0","2","4","-1","-1","-1","3","3","4","2","2","low_spend_cust"
"1386",52,13,0,14,33,18.3,2.5,0.92,3.54,1.26,0,5,1,16,3,5,2,2,0,0,0,0,0,0,0,3,1,0,1,24,1,0,0,0,0,0,0,1,0,0,2,4,0,0,0,3,1,3,0,34,0,25,10,4,107.35,0,65,0,30.15,3.41,2020.5,0,0,2.55,0,7,1,33.55,2079.7,1,21,3.04,1510,7.32,0,0,2.93,0,7.34,0,0,0,0,1,0,1,0,1,18,1,1,1,0,0,1,0,0,1,0,1,0,"2","1","July","2","0","2","4","1","15.8","0","2","2","4","2","0","medium_spend_cust"
"1388",46,12,1,18,63,19.8,3.94,1.37,8.53,2.14,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,18,1,1,0,0,0,0,1,0,0,0,9,3,1,0,0,2,1,1,0,29,0,27,6,3,58.8,0,69,0,11.1,2.41,804.55,1,47.5,3.86,3272.3,8.09,1,53.9,3686.85,1,14.75,2.69,1065,6.97,1,60.25,4.1,4224.55,8.35,1,1,1,1,1,1,1,1,1,19,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","April","5","0","2","3","0","38.5","0","1","2","4","3","3","low_spend_cust"
"1389",59,11,1,28,159,11.3,6.22,1.83,11.75,2.46,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,1,1,25,1,0,0,0,0,0,0,1,0,1,9,6,1,1,1,5,3,4,0,40,0,29,11,7,788.41,0,71,0,36.75,3.6,2615.7,0,0,2.42,0,6.61,0,0,0,1,65.5,4.18,4485,8.41,0,0,2.9,0,7.19,1,0,0,0,0,1,0,0,1,15,1,1,1,0,1,0,0,0,1,0,0,1,"2","0","August","6","0","1","5","0","98.5","0","3","3","1","3","0","high_spend_cust"
"1395",37,11,0,1,28,10.9,0.87,-0.14,2.18,0.78,0,1,1,12,2,2,0,0,0,0,0,0,0,0,1,1,0,0,5,23,0,0,1,0,1,0,0,0,0,0,9,1,1,1,0,3,3,4,0,19,0,19,13,2,55.06,0,64,0,24.3,3.19,1457.75,0,0,2.6,0,6.87,0,0,0,1,12,2.48,725,6.59,0,0,2.9,0,7.11,0,0,1,1,1,1,1,0,1,24,1,1,1,0,1,0,0,0,0,0,0,0,"1","0","September","2","0","1","3","0","12.8","0","5","3","3","3","0","medium_spend_cust"
"1407",29,17,0,3,16,11.2,0.52,-0.65,1.27,0.24,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,4,20,0,0,0,1,0,0,0,0,0,0,9,4,0,0,1,1,2,4,0,11,0,11,12,5,158.62,0,44,1,13.5,2.6,644.75,0,0,2.33,0,5.87,1,24.6,980.55,1,29,3.37,1200,7.09,0,0,2.92,0,6.41,0,0,0,0,0,0,0,1,1,21,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","October","5","0","1","3","1","6.8","0","2","1","4","3","1","medium_spend_cust"
"1413",27,16,1,3,72,11.3,4.92,1.59,3.21,1.17,0,3,1,14,2,4,2,0,1,0,1,0,0,0,1,2,1,0,8,21,0,0,0,0,1,0,1,1,0,0,9,7,0,0,1,2,1,2,1,9,0,9,11,2,35.13,0,47,0,7.1,1.96,331.2,1,40.5,3.7,1960.35,7.58,0,0,0,1,12.5,2.53,555,6.32,1,37.35,3.62,1765.95,7.48,0,1,0,1,1,1,1,1,1,21,1,1,1,1,1,1,0,1,0,0,0,1,"5","1","February","1","0","3","2","0","17","0","4","4","4","3","0","medium_spend_cust"
"1414",18,13,0,0,24,10.4,1.52,0.42,0.98,-0.02,1,1,0,-1,-1,2,1,1,0,0,0,0,0,0,0,3,1,0,1,19,1,0,1,0,1,0,0,1,0,0,9,6,0,1,0,3,3,3,0,0,1,0,9,5,78.45,1,1,0,6.6,1.89,6.6,1,24.75,3.21,24.75,3.21,0,0,0,1,35.25,3.56,35.25,3.56,0,0,2.54,0,2.7,0,0,0,1,1,1,1,0,1,16,1,1,1,0,0,0,0,0,1,0,0,0,"2","0","January","1","0","2","1","1","14.4","1","1","3","4","3","0","medium_spend_cust"
"1417",54,21,0,7,108,5.4,0.11,-2.2,5.72,1.74,0,4,1,17,4,2,0,0,0,0,0,0,0,0,0,5,1,0,1,27,1,0,0,1,1,0,0,0,0,1,9,2,1,0,1,4,3,3,1,7,0,5,1,2,107.41,0,12,1,8.2,2.1,95,1,17.25,2.85,208.5,5.34,1,51.45,576.95,1,65.5,4.18,660,6.49,1,74.85,4.32,765.45,6.64,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,0,0,0,"4","0","November","1","0","2","3","1","46","0","3","4","1","2","4","low_spend_cust"
"1419",24,18,0,0,42,1.6,0.09,-2.41,0.58,-0.54,0,1,0,-1,-1,2,4,0,0,0,0,0,0,4,1,2,1,0,10,21,1,0,0,1,0,0,0,0,0,1,9,3,0,0,1,4,3,2,0,2,0,1,10,2,29.73,0,3,0,1.75,0.56,7.55,0,0,2.64,0,3.14,1,28.05,56.85,0,0,2.25,0,2.3,1,20.45,3.02,33.25,3.5,1,0,1,0,0,0,0,1,1,19,1,1,1,1,1,1,1,0,0,0,0,0,"1","0","September","2","0","1","1","0","24.7","0","1","2","3","3","3","low_spend_cust"
"1421",24,11,0,3,20,2.5,0.12,-2.09,0.38,-0.98,0,3,1,14,2,2,1,1,0,0,0,0,0,0,1,1,0,0,8,28,0,0,0,0,0,0,0,1,0,0,9,5,1,0,0,4,3,2,0,6,0,6,16,6,184.51,1,61,0,8.6,2.15,505.7,0,0,2.9,0,7.23,0,0,0,1,21,3.04,1300,7.17,0,0,3.18,0,7.48,1,0,0,0,0,0,0,0,1,22,1,1,0,0,0,0,0,0,1,0,0,0,"3","1","May","1","0","1","2","1","11.8","1","3","2","3","1","0","medium_spend_cust"
"1424",45,12,0,5,32,14.7,1.2,0.19,3.5,1.25,1,2,0,-1,-1,1,9,3,0,0,0,0,0,6,1,3,1,1,1,22,1,0,0,1,0,0,0,0,0,0,1,6,0,0,1,2,4,4,0,22,0,18,7,0,0,0,62,0,26.2,3.27,1602.5,0,0,2.3,0,6.67,0,0,0,0,0,1.45,0,5.65,0,0,2.89,0,7.19,1,0,0,0,0,0,0,0,1,19,1,1,1,0,1,0,0,0,1,0,0,0,"2","1","November","1","0","1","4","0","21.1","0","3","3","4","3","0","low_spend_cust"
"1446",22,17,1,0,35,28.3,3.5,1.25,6.41,1.86,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,10,28,0,0,0,0,1,0,0,0,0,1,9,6,0,1,0,4,3,4,0,4,0,4,12,3,166.15,0,6,1,3,1.1,25.3,0,0,2.77,0,4.86,1,39.5,170.2,1,15.25,2.72,90,4.5,1,27.3,3.31,138.1,4.93,1,1,1,1,0,1,0,1,1,16,1,1,1,0,1,1,1,0,0,0,0,0,"2","0","April","2","0","2","1","1","15.5","0","1","3","2","3","3","medium_spend_cust"
"1451",77,17,0,16,90,2.8,0.28,-1.27,2.24,0.81,0,3,1,15,3,2,0,0,0,0,0,0,0,0,1,2,1,0,4,30,1,0,0,1,0,0,0,1,0,0,9,2,1,1,1,4,3,3,0,40,0,30,9,6,112.88,0,72,0,78.7,4.37,5670,1,62.25,4.13,4547,8.42,0,0,0,1,64.5,4.17,4745,8.46,1,64.95,4.17,4677.6,8.45,1,1,0,1,1,1,0,0,1,17,1,1,1,0,1,1,1,0,1,0,1,1,"4","0","February","1","0","3","5","0","46.5","0","1","2","1","3","4","low_spend_cust"
"1454",48,11,0,3,36,17.3,1.73,0.55,4.5,1.5,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,1,1,1,22,1,0,1,0,0,0,0,1,0,0,9,5,0,0,0,4,4,4,1,30,0,20,9,1,19.87,1,56,0,17.15,2.84,937.95,0,0,2.77,0,6.81,0,0,0,1,26,3.26,1465,7.29,0,0,2.93,0,6.93,1,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,0,0,1,1,0,0,"2","1","December","2","0","1","4","1","19.2","0","3","4","1","1","0","medium_spend_cust"
"1456",59,15,0,7,32,13.8,0.87,-0.14,3.55,1.27,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,0,1,1,28,1,0,0,0,0,0,0,1,0,0,1,7,0,0,1,2,4,1,0,20,0,13,16,7,306.24,1,50,0,18.6,2.92,982.3,1,20.75,3.03,965.9,6.87,0,0,0,0,0,2.46,0,6.26,0,0,2.82,0,6.63,1,0,0,1,1,1,1,0,1,20,1,1,1,0,1,0,0,0,0,0,0,0,"2","0","May","2","0","1","5","0","17.7","1","1","3","4","1","0","medium_spend_cust"
"1460",69,15,0,31,48,8.7,1.9,0.64,2.28,0.82,0,3,1,14,2,2,3,0,0,3,0,0,0,0,0,3,1,1,1,30,1,0,0,0,1,0,0,0,0,1,1,4,0,0,0,2,1,2,0,30,0,26,7,4,54.48,0,70,0,10.85,2.38,750.95,1,44.75,3.8,2977.6,8,1,51.35,3675.15,1,20.25,3.01,1445,7.28,1,37.95,3.64,2539.75,7.84,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0,0,0,0,0,"1","1","November","6","1","2","5","1","25.1","0","3","3","4","3","3","low_spend_cust"
"1471",79,13,1,32,12,4.8,0.1,-2.35,0.48,-0.73,0,2,0,-1,-1,1,8,0,0,0,0,0,0,8,0,4,1,1,1,27,1,0,0,1,1,0,0,1,0,0,9,3,1,1,0,1,2,3,0,35,1,24,8,8,412.67,0,68,0,20.55,3.02,1410.85,0,0,2.35,0,6.64,0,0,0,1,18.5,2.92,1245,7.13,0,0,2.83,0,7.22,1,0,0,0,0,0,0,0,1,24,1,1,1,0,1,0,0,0,1,0,0,0,"5","0","December","5","1","1","5","0","7","0","5","4","4","3","0","medium_spend_cust"
"1472",61,15,0,13,46,6.4,0.84,-0.17,2.1,0.74,0,5,1,16,3,2,5,1,1,0,0,0,0,3,1,2,1,0,1,17,1,0,0,1,0,0,0,0,0,0,9,3,1,0,1,4,3,2,0,40,0,30,7,5,134.39,1,72,0,31.3,3.44,2254.85,0,0,2.71,0,7.14,0,0,0,1,26.5,3.28,1965,7.58,0,0,2.88,0,7.18,1,0,0,0,0,0,0,0,1,10,1,1,1,0,0,0,0,0,1,1,0,0,"1","1","August","1","0","1","5","1","24.2","0","1","4","2","2","0","low_spend_cust"
"1473",51,11,0,17,36,5.3,0.2,-1.61,1.71,0.54,0,3,1,10,1,5,8,1,0,0,0,0,0,7,0,0,-1,0,4,20,0,0,0,1,0,0,0,0,0,0,9,6,0,1,0,2,3,3,1,33,0,26,8,5,152.59,0,66,0,21.45,3.07,1332.25,1,34.25,3.53,2254.85,7.72,0,0,0,1,32,3.47,1990,7.6,0,0,2.9,0,7.05,0,0,0,1,0,1,1,0,1,18,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","April","3","0","2","3","-1","-1","-1","3","2","1","3","0","low_spend_cust"
